agency_cd,site_no,datetime,293221_00060_00003,293221_00060_00003_cd
USGS,1589000,7/10/2016,75.2,A
USGS,1589000,7/11/2016,70.8,A
USGS,1589000,7/12/2016,62.9,A
USGS,1589000,7/13/2016,61.2,A
USGS,1589000,7/14/2016,60.5,A
USGS,1589000,7/15/2016,57.5,A
USGS,1589000,7/16/2016,55.8,A
USGS,1589000,7/17/2016,55.7,A
USGS,1589000,7/18/2016,54.1,A
USGS,1589000,7/19/2016,55.4,A
USGS,1589000,7/20/2016,51.7,A
USGS,1589000,7/21/2016,49.8,A
USGS,1589000,7/22/2016,48.5,A
USGS,1589000,7/23/2016,47.8,A
USGS,1589000,7/24/2016,46.6,A
USGS,1589000,7/25/2016,46.5,A
USGS,1589000,7/26/2016,45.9,A
USGS,1589000,7/27/2016,45,A
USGS,1589000,7/28/2016,49.7,A
USGS,1589000,7/29/2016,173,A
USGS,1589000,7/30/2016,2380,A
USGS,1589000,7/31/2016,579,A
USGS,1589000,8/1/2016,201,A
USGS,1589000,8/2/2016,170,A
USGS,1589000,8/3/2016,292,A
USGS,1589000,8/4/2016,190,A
USGS,1589000,8/5/2016,129,A
USGS,1589000,8/6/2016,97,A
USGS,1589000,8/7/2016,76.7,A
USGS,1589000,8/8/2016,66.9,A
USGS,1589000,8/9/2016,65.3,A
USGS,1589000,8/10/2016,64.2,A
USGS,1589000,8/11/2016,57.9,A
USGS,1589000,8/12/2016,54.9,A
USGS,1589000,8/13/2016,52.7,A
USGS,1589000,8/14/2016,51.6,A
USGS,1589000,8/15/2016,95.4,A
USGS,1589000,8/16/2016,144,A
USGS,1589000,8/17/2016,117,A
USGS,1589000,8/18/2016,187,A
USGS,1589000,8/19/2016,81.4,A
USGS,1589000,8/20/2016,65.2,A
USGS,1589000,8/21/2016,65.2,A
USGS,1589000,8/22/2016,65.3,A
USGS,1589000,8/23/2016,54.1,A
USGS,1589000,8/24/2016,50.7,A
USGS,1589000,8/25/2016,47.8,A
USGS,1589000,8/26/2016,47.3,A
USGS,1589000,8/27/2016,45.4,A
USGS,1589000,8/28/2016,42.7,A
USGS,1589000,8/29/2016,41.8,A
USGS,1589000,8/30/2016,39.4,A
USGS,1589000,8/31/2016,38.8,A
USGS,1589000,9/1/2016,279,A
USGS,1589000,9/2/2016,78.5,A
USGS,1589000,9/3/2016,56,A
USGS,1589000,9/4/2016,50.1,A
USGS,1589000,9/5/2016,46.8,A
USGS,1589000,9/6/2016,45.4,A
USGS,1589000,9/7/2016,42.8,A
